INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,IMP_AGE,M_IMP_AGE,AGE_BIN,IMP_YOJ,M_IMP_YOJ,IMP_INCOME,M_IMP_INCOME,IMP_JOB,M_IMP_JOB,IMP_HOME_VAL,M_IMP_HOME_VAL,IMP_TRAVTIME,IMP_BLUEBOOK,OLDCLAIM_BIN,IMP_CAR_AGE,M_IMP_CAR_AGE
691,0,0,0,52,0,11,"$5,109",No,$0,z_No,z_F,z_High School,Home Maker,5,Private,"$2,010",6,Sports Car,no,$0,0,No,0,3,z_Highly Rural/ Rural,52,0,3,11,0,5108.9089551,0,Home Maker,0,0,0,5,2010,0,3,0
694,1,9893,0,46,0,13,"$57,933",No,"$202,659",z_No,z_F,Masters,Lawyer,7,Private,"$16,620",1,z_SUV,no,$0,0,No,0,,Highly Urban/ Urban,46,0,3,13,0,57933.499513,0,Lawyer,0,202659.48847,0,6.9125951186,16620,0,8,1
695,0,0,0,46,0,12,"$9,537",No,"$113,805",Yes,z_F,Masters,Home Maker,18,Private,"$10,760",1,Minivan,no,"$5,624",3,No,3,13,Highly Urban/ Urban,46,0,3,12,0,9536.857197,0,Home Maker,0,113804.84895,0,18.056093488,10760,2,13,0
696,1,5494.6976989,0,24,1,12,"$94,566",Yes,"$239,142",z_No,z_F,Masters,,34,Private,"$3,900",1,z_SUV,no,$0,0,No,2,16,Highly Urban/ Urban,24,0,0,12,0,94565.863506,0,Manager,1,239141.61801,0,33.738795644,3900,0,16,0
697,1,5386,0,55,0,13,,No,"$315,515",z_No,z_F,PhD,Home Maker,5,Private,"$21,270",6,Sports Car,no,"$2,622",1,No,2,20,Highly Urban/ Urban,55,0,3,13,0,12073.33,1,Home Maker,0,315514.91703,0,5,21270,1,20,0
701,0,0,0,33,1,10,"$39,584",Yes,,z_No,z_F,Bachelors,z_Blue Collar,40,Commercial,"$10,260",14,z_SUV,no,$0,0,No,0,4,Highly Urban/ Urban,33,0,1,10,0,39583.968107,0,z_Blue Collar,0,156413.52,1,40.182947687,10260,0,4,0
702,0,0,0,56,0,12,"$95,259",No,"$320,094",Yes,z_F,Bachelors,z_Blue Collar,25,Commercial,"$11,030",4,Minivan,no,$0,0,No,0,1,Highly Urban/ Urban,56,0,4,12,0,95259.067668,0,z_Blue Collar,0,320094.4767,0,25.172203806,11030,0,1,0
703,0,0,0,49,0,8,"$76,399",No,"$225,768",Yes,M,z_High School,z_Blue Collar,44,Commercial,"$14,040",7,Minivan,no,"$32,239",2,Yes,5,1,Highly Urban/ Urban,49,0,3,8,0,76398.786002,0,z_Blue Collar,0,225767.79611,0,44.033556787,14040,3,1,0
705,0,0,0,52,0,14,"$57,134",No,,Yes,M,z_High School,Professional,41,Commercial,"$8,430",4,Pickup,yes,$0,0,No,2,8,Highly Urban/ Urban,52,0,3,14,0,57133.74165,0,Professional,0,192245.39,1,40.811422964,8430,0,8,0
706,1,5190,0,60,0,11,,No,"$290,875",z_No,M,Masters,,44,Commercial,"$22,780",4,Panel Truck,yes,"$8,400",1,No,0,22,Highly Urban/ Urban,60,0,4,11,0,61898.1,1,Professional,1,290874.60866,0,43.915835785,22780,2,22,0
710,0,0,0,30,4,14,"$53,140",No,,Yes,z_F,Bachelors,Clerical,16,Private,"$6,810",9,z_SUV,no,"$36,267",1,No,0,13,Highly Urban/ Urban,30,0,1,14,0,53139.798135,0,Clerical,0,117635.99,1,16.475020878,6810,3,13,0
711,0,0,0,36,2,14,"$80,765",No,"$191,252",Yes,M,Masters,Lawyer,29,Private,"$13,840",3,Minivan,yes,$0,0,No,1,9,Highly Urban/ Urban,36,0,2,14,0,80765.359199,0,Lawyer,0,191251.82228,0,28.746066087,13840,0,9,0
712,0,0,0,30,0,12,"$80,872",No,"$285,859",Yes,M,Bachelors,Professional,27,Private,"$29,580",10,Minivan,yes,$0,0,No,0,7,z_Highly Rural/ Rural,30,0,1,12,0,80872.082709,0,Professional,0,285858.55708,0,27.205515679,29580,0,7,0
715,0,0,0,62,0,15,"$39,953",No,"$181,434",Yes,M,PhD,Doctor,5,Private,"$14,740",1,z_SUV,yes,"$8,006",2,No,0,1,Highly Urban/ Urban,62,0,4,15,0,39952.997617,0,Doctor,0,181434.49527,0,5,14740,2,1,0
717,1,5109,0,59,0,11,"$8,213",No,$0,z_No,z_F,z_High School,Home Maker,61,Private,"$8,840",6,z_SUV,no,"$2,479",3,No,6,5,Highly Urban/ Urban,59,0,4,11,0,8213.2746991,0,Home Maker,0,0,0,60.976527815,8840,1,5,0
719,0,0,0,46,0,13,"$49,838",No,"$159,152",Yes,M,z_High School,Clerical,15,Private,"$11,080",6,Minivan,yes,$0,0,No,0,9,Highly Urban/ Urban,46,0,3,13,0,49837.806598,0,Clerical,0,159152.49575,0,15.074077837,11080,0,9,0
720,1,2424,0,30,3,11,"$75,891",No,"$222,952",Yes,M,Masters,,33,Commercial,"$4,500",4,Pickup,no,"$3,919",1,No,1,20,Highly Urban/ Urban,30,0,1,11,0,75891.224819,0,Manager,1,222951.81256,0,33.074007811,4500,1,20,0
721,0,0,2,42,2,17,"$69,465",No,"$200,108",Yes,M,Bachelors,z_Blue Collar,35,Commercial,"$15,770",1,Minivan,yes,$0,0,No,0,6,z_Highly Rural/ Rural,42,0,2,17,0,69465.183406,0,z_Blue Collar,0,200108.05532,0,35.251493296,15770,0,6,0
723,0,0,0,57,0,,"$104,257",No,,Yes,z_F,PhD,Doctor,32,Private,"$7,650",4,z_SUV,no,$0,0,Yes,0,8,Highly Urban/ Urban,57,0,4,12,1,104256.83016,0,Doctor,0,269556.66,1,32.462625543,7650,0,8,0
724,0,0,0,46,0,0,$0,No,$0,z_No,z_F,z_High School,Student,23,Commercial,"$10,080",1,z_SUV,no,$0,0,No,0,10,z_Highly Rural/ Rural,46,0,3,0,0,0,0,Student,0,0,0,23.438815076,10080,0,10,0
725,0,0,0,43,4,11,"$69,651",No,"$272,225",Yes,M,z_High School,z_Blue Collar,50,Commercial,"$19,210",10,Van,yes,$0,0,No,0,7,Highly Urban/ Urban,43,0,2,11,0,69651.417699,0,z_Blue Collar,0,272224.51373,0,49.609522137,19210,0,7,0
726,0,0,0,50,0,12,"$92,237",No,$0,z_No,M,Bachelors,z_Blue Collar,56,Commercial,"$15,720",13,Minivan,yes,$0,0,No,3,11,z_Highly Rural/ Rural,50,0,3,12,0,92237.112675,0,z_Blue Collar,0,0,0,56.464028499,15720,0,11,0
727,1,27495.930452,1,42,1,9,"$61,995",Yes,$0,z_No,z_F,Bachelors,Professional,52,Private,"$36,080",1,Minivan,no,$0,0,No,3,8,Highly Urban/ Urban,42,0,2,9,0,61995.272828,0,Professional,0,0,0,52.39047026,36080,0,8,0
728,0,0,0,42,0,7,"$178,453",No,"$450,858",Yes,z_F,Masters,Lawyer,29,Private,"$24,790",6,z_SUV,no,$0,0,No,1,17,Highly Urban/ Urban,42,0,2,7,0,178453.21038,0,Lawyer,0,450857.83154,0,28.784013681,24790,0,17,0
730,1,5862,1,38,2,11,"$22,938",Yes,$0,z_No,z_F,z_High School,Clerical,38,Private,"$14,170",4,z_SUV,no,"$9,785",2,No,0,1,z_Highly Rural/ Rural,38,0,2,11,0,22938.401935,0,Clerical,0,0,0,38.064979576,14170,2,1,0
732,0,0,0,56,0,9,"$29,401",No,"$195,993",Yes,z_F,z_High School,Clerical,43,Private,"$18,350",14,z_SUV,no,$0,0,No,0,6,z_Highly Rural/ Rural,56,0,4,9,0,29400.83937,0,Clerical,0,195992.76652,0,43.488012485,18350,0,6,0
734,0,0,0,43,0,10,,No,$0,z_No,z_F,<High School,Clerical,50,Private,"$14,080",4,Minivan,no,$0,0,No,0,1,z_Highly Rural/ Rural,43,0,2,10,0,33861.19,1,Clerical,0,0,0,50.333456771,14080,0,1,0
735,0,0,0,52,0,10,"$47,417",No,"$229,556",z_No,M,Masters,Lawyer,61,Private,"$8,840",10,Minivan,no,$0,0,No,0,13,Highly Urban/ Urban,52,0,3,10,0,47417.417493,0,Lawyer,0,229556.08818,0,60.790435281,8840,0,13,0
736,0,0,0,42,0,12,"$91,845",No,"$261,848",Yes,z_F,Masters,Professional,41,Private,"$33,490",11,z_SUV,no,$0,0,No,0,19,Highly Urban/ Urban,42,0,2,12,0,91845.065912,0,Professional,0,261847.63114,0,40.730337747,33490,0,19,0
737,1,3960,0,32,0,10,"$16,118",No,$0,z_No,z_F,<High School,z_Blue Collar,44,Private,"$6,380",1,z_SUV,no,"$7,223",1,No,4,1,Highly Urban/ Urban,32,0,1,10,0,16118.470384,0,z_Blue Collar,0,0,0,43.655326641,6380,2,1,0
738,0,0,0,42,0,13,"$172,119",No,"$429,985",Yes,M,PhD,Manager,26,Commercial,"$7,580",16,Pickup,no,$0,0,No,0,12,Highly Urban/ Urban,42,0,2,13,0,172119.0169,0,Manager,0,429985.12321,0,26.418677908,7580,0,12,0
739,0,0,0,27,3,15,"$52,335",No,"$187,295",Yes,M,Bachelors,Clerical,24,Private,"$9,430",18,Minivan,no,$0,0,No,0,7,Highly Urban/ Urban,27,0,1,15,0,52335.20062,0,Clerical,0,187295.27071,0,23.579256619,9430,0,7,0
740,0,0,0,38,2,10,"$40,180",No,"$164,346",Yes,z_F,Masters,Home Maker,23,Private,"$3,320",1,Sports Car,no,$0,0,No,0,2,z_Highly Rural/ Rural,38,0,2,10,0,40179.593158,0,Home Maker,0,164345.97665,0,23.32579265,3320,0,2,0
741,0,0,0,46,0,11,"$89,657",No,"$267,839",z_No,z_F,Bachelors,Professional,39,Private,"$11,070",1,z_SUV,no,$0,0,No,1,10,Highly Urban/ Urban,46,0,3,11,0,89656.576417,0,Professional,0,267838.93895,0,38.887491805,11070,0,10,0
742,0,0,1,38,1,14,"$39,338",Yes,$0,z_No,M,z_High School,z_Blue Collar,28,Commercial,"$9,230",4,Minivan,no,$0,0,No,0,1,z_Highly Rural/ Rural,38,0,2,14,0,39337.974501,0,z_Blue Collar,0,0,0,27.739545057,9230,0,1,0
743,0,0,1,41,1,0,$0,No,"$132,571",Yes,z_F,Masters,Home Maker,21,Private,"$5,600",16,Sports Car,no,"$4,263",3,No,0,17,Highly Urban/ Urban,41,0,2,0,0,0,0,Home Maker,0,132570.62587,0,20.536866369,5600,1,17,0
744,1,1226,0,41,0,10,"$50,331",No,$0,z_No,z_F,Bachelors,z_Blue Collar,23,Commercial,"$18,870",4,Pickup,no,"$5,581",2,No,7,1,Highly Urban/ Urban,41,0,2,10,0,50330.715502,0,z_Blue Collar,0,0,0,23.036740815,18870,2,1,0
745,0,0,0,42,1,6,"$68,984",Yes,"$219,684",z_No,M,<High School,Professional,46,Private,"$1,500",6,Minivan,yes,$0,0,Yes,4,5,Highly Urban/ Urban,42,0,2,6,0,68984.140016,0,Professional,0,219684.48252,0,45.668645546,1500,0,5,0
749,0,0,0,44,0,9,"$70,914",No,$0,z_No,z_F,Bachelors,z_Blue Collar,69,Commercial,"$5,900",7,z_SUV,no,$0,0,No,0,9,z_Highly Rural/ Rural,44,0,2,9,0,70913.742272,0,z_Blue Collar,0,0,0,68.950924977,5900,0,9,0
750,0,0,0,55,0,13,"$28,196",No,"$147,611",z_No,z_F,z_High School,Clerical,27,Private,"$16,340",6,Minivan,no,$0,0,No,0,6,z_Highly Rural/ Rural,55,0,3,13,0,28196.436613,0,Clerical,0,147611.29622,0,26.663016291,16340,0,6,0
751,0,0,0,39,0,10,"$198,320",No,"$494,094",Yes,M,z_High School,z_Blue Collar,20,Private,"$38,910",6,Minivan,yes,$0,0,No,1,1,Highly Urban/ Urban,39,0,2,10,0,198319.7039,0,z_Blue Collar,0,494094.24087,0,19.666373695,38910,0,1,0
752,0,0,0,56,0,6,,No,"$242,441",Yes,z_F,Masters,Lawyer,13,Private,"$29,040",4,Minivan,no,$0,0,No,0,14,Highly Urban/ Urban,56,0,4,6,0,88304.81,1,Lawyer,0,242440.89748,0,12.789889511,29040,0,14,0
754,0,0,0,45,0,7,"$155,990",No,"$405,671",Yes,z_F,Masters,Lawyer,30,Private,"$6,000",4,z_SUV,no,$0,0,No,0,11,Highly Urban/ Urban,45,0,2,7,0,155990.40871,0,Lawyer,0,405670.5151,0,30.480836882,6000,0,11,0
755,0,0,0,50,0,14,"$5,041",No,"$85,437",z_No,z_F,Masters,Home Maker,5,Commercial,"$13,620",10,Pickup,no,$0,0,No,0,15,Highly Urban/ Urban,50,0,3,14,0,5041.1638616,0,Home Maker,0,85436.826906,0,5,13620,0,15,0
756,0,0,0,56,0,,"$84,186",No,"$266,968",Yes,M,Masters,Manager,45,Private,"$15,520",7,Minivan,no,$0,0,No,0,19,Highly Urban/ Urban,56,0,4,12,1,84185.793587,0,Manager,0,266967.69989,0,45.095411865,15520,0,19,0
758,1,4402,0,36,0,0,$0,No,"$68,436",z_No,z_F,PhD,Home Maker,62,Private,"$2,680",6,Sports Car,no,$0,0,No,0,21,Highly Urban/ Urban,36,0,2,0,0,0,0,Home Maker,0,68436.116772,0,61.66265217,2680,0,21,0
759,0,0,0,31,1,8,"$2,177",Yes,$0,z_No,M,z_High School,Student,24,Private,"$13,150",4,Minivan,yes,$0,0,No,0,1,Highly Urban/ Urban,31,0,1,8,0,2177.4222693,0,Student,0,0,0,23.842090696,13150,0,1,0
760,0,0,0,40,0,8,"$55,258",No,"$182,917",z_No,M,z_High School,z_Blue Collar,37,Commercial,"$13,860",10,Minivan,no,"$6,474",2,No,3,1,Highly Urban/ Urban,40,0,2,8,0,55257.765528,0,z_Blue Collar,0,182916.68246,0,37.231274428,13860,2,1,0
761,0,0,0,44,0,14,"$25,588",No,"$119,825",Yes,M,<High School,z_Blue Collar,30,Private,"$14,830",5,Minivan,yes,$0,0,No,2,4,Highly Urban/ Urban,44,0,2,14,0,25587.772365,0,z_Blue Collar,0,119824.82582,0,30.137820046,14830,0,4,0
762,1,5722,0,54,0,8,"$55,742",No,"$186,013",Yes,z_F,z_High School,z_Blue Collar,52,Commercial,"$15,810",10,z_SUV,no,"$9,718",3,Yes,2,9,Highly Urban/ Urban,54,0,3,8,0,55741.926748,0,z_Blue Collar,0,186013.05507,0,51.62320069,15810,2,9,0
764,1,6220,0,54,0,14,"$81,438",No,$0,z_No,z_F,Masters,Lawyer,39,Private,"$15,040",4,Sports Car,no,$0,0,No,0,16,Highly Urban/ Urban,54,0,3,14,0,81437.564773,0,Lawyer,0,0,0,39.276139039,15040,0,16,0
765,0,0,2,40,2,13,"$45,777",No,"$199,049",Yes,M,Bachelors,Clerical,78,Commercial,"$16,990",7,Van,yes,$0,0,No,4,11,z_Highly Rural/ Rural,40,0,2,13,0,45777.223879,0,Clerical,0,199049.1321,0,75.14433,16990,0,11,0
766,0,0,0,38,0,10,"$98,120",No,$0,z_No,z_F,Bachelors,z_Blue Collar,22,Commercial,"$16,090",3,z_SUV,no,"$2,982",3,No,2,12,Highly Urban/ Urban,38,0,2,10,0,98120.218915,0,z_Blue Collar,0,0,0,21.959951791,16090,1,12,0
768,1,2962.1017697,1,42,2,10,"$36,230",Yes,"$158,234",z_No,z_F,<High School,z_Blue Collar,42,Private,"$6,480",4,z_SUV,no,"$9,773",2,No,1,5,Highly Urban/ Urban,42,0,2,10,0,36230.166602,0,z_Blue Collar,0,158234.08032,0,41.735133425,6480,2,5,0
769,0,0,0,43,0,12,"$37,384",No,"$196,790",Yes,M,z_High School,Manager,51,Private,"$9,540",6,Pickup,yes,$0,0,No,4,,Highly Urban/ Urban,43,0,2,12,0,37384.363501,0,Manager,0,196790.24149,0,51.130539258,9540,0,8,1
770,0,0,0,41,0,10,"$36,339",No,"$217,475",Yes,z_F,z_High School,z_Blue Collar,40,Commercial,"$25,980",6,Pickup,no,$0,0,No,2,13,Highly Urban/ Urban,41,0,2,10,0,36338.766784,0,z_Blue Collar,0,217474.86035,0,40.428074395,25980,0,13,0
771,0,0,0,45,3,18,"$77,865",No,"$209,526",Yes,z_F,<High School,z_Blue Collar,14,Private,"$27,170",7,Minivan,no,$0,0,No,1,7,Highly Urban/ Urban,45,0,2,18,0,77864.836815,0,z_Blue Collar,0,209525.94198,0,14.488242415,27170,0,7,0
772,0,0,0,53,0,11,"$97,706",No,$0,z_No,M,Masters,,48,Commercial,"$18,020",9,Van,yes,$0,0,No,0,10,Highly Urban/ Urban,53,0,3,11,0,97705.910851,0,Lawyer,1,0,0,48.394567548,18020,0,10,0
773,0,0,0,53,0,15,"$63,049",No,"$197,046",Yes,M,Bachelors,Professional,40,Private,"$13,010",6,Minivan,yes,"$1,402",1,No,6,12,Highly Urban/ Urban,53,0,3,15,0,63049.027754,0,Professional,0,197046.12761,0,40.448868985,13010,1,12,0
775,1,4405,0,32,1,14,"$42,667",Yes,,z_No,M,Bachelors,Professional,30,Commercial,"$8,130",6,Pickup,yes,"$5,398",1,No,3,1,Highly Urban/ Urban,32,0,1,14,0,42666.569252,0,Professional,0,192245.39,1,29.915307395,8130,2,1,0
777,0,0,0,42,3,,"$43,444",Yes,"$190,220",z_No,z_F,z_High School,Manager,33,Private,"$28,060",7,Minivan,no,$0,0,No,1,8,Highly Urban/ Urban,42,0,2,10,1,43444.084123,0,Manager,0,190219.74501,0,33.206047163,28060,0,8,0
778,1,5378,1,42,1,12,"$71,686",Yes,$0,z_No,z_F,Bachelors,Professional,37,Private,"$12,870",10,Sports Car,no,"$5,982",2,No,2,10,Highly Urban/ Urban,42,0,2,12,0,71686.132189,0,Professional,0,0,0,37.209461708,12870,2,10,0
779,0,0,0,41,0,0,$0,No,"$105,303",Yes,z_F,Masters,Home Maker,60,Private,"$5,600",1,z_SUV,no,$0,0,No,0,19,z_Highly Rural/ Rural,41,0,2,0,0,0,0,Home Maker,0,105303.29668,0,60.182721554,5600,0,19,0
780,0,0,1,39,3,14,"$46,878",No,"$176,582",Yes,z_F,Bachelors,Clerical,27,Private,"$13,740",7,z_SUV,no,$0,0,No,1,9,Highly Urban/ Urban,39,0,2,14,0,46877.890061,0,Clerical,0,176581.91192,0,27.28952613,13740,0,9,0
781,0,0,0,27,0,8,"$78,197",No,"$229,920",Yes,z_F,Masters,Manager,12,Private,"$18,040",13,Pickup,no,$0,0,No,0,12,Highly Urban/ Urban,27,0,1,8,0,78197.205229,0,Manager,0,229919.70662,0,11.689368003,18040,0,12,0
782,0,0,1,43,1,11,"$84,342",No,"$289,734",Yes,M,Masters,Lawyer,47,Private,"$28,840",10,Minivan,no,"$3,826",3,No,2,8,Highly Urban/ Urban,43,0,2,11,0,84341.680052,0,Lawyer,0,289734.29053,0,47.436048807,28840,1,8,0
783,0,0,0,45,1,9,"$24,178",No,"$115,381",Yes,z_F,<High School,Clerical,67,Private,"$29,790",10,Minivan,no,"$9,197",2,No,1,1,Highly Urban/ Urban,45,0,2,9,0,24178.293565,0,Clerical,0,115380.65847,0,67.224865664,29790,2,1,0
784,0,0,0,43,0,11,"$44,139",No,"$149,105",z_No,z_F,z_High School,z_Blue Collar,40,Commercial,"$13,910",1,z_SUV,no,$0,0,Yes,0,1,z_Highly Rural/ Rural,43,0,2,11,0,44139.277116,0,z_Blue Collar,0,149104.75957,0,40.443252998,13910,0,1,0
785,1,2044.216896,0,33,0,9,"$69,641",No,"$230,290",z_No,M,Bachelors,z_Blue Collar,33,Commercial,"$22,680",1,Panel Truck,yes,"$1,712",4,No,2,15,Highly Urban/ Urban,33,0,1,9,0,69641.492272,0,z_Blue Collar,0,230290.20547,0,32.730112155,22680,1,15,0
786,0,0,0,48,0,15,"$81,940",No,"$263,363",Yes,z_F,z_High School,Manager,5,Private,"$17,270",1,Sports Car,no,"$17,691",1,Yes,6,1,Highly Urban/ Urban,48,0,3,15,0,81939.684301,0,Manager,0,263362.65261,0,5,17270,3,1,0
787,0,0,0,52,0,13,"$16,005",No,"$52,557",Yes,M,<High School,Clerical,38,Private,"$11,570",7,Pickup,yes,"$3,546",1,No,5,1,Highly Urban/ Urban,52,0,3,13,0,16005.235427,0,Clerical,0,52556.920297,0,38.306281589,11570,1,1,0
789,0,0,0,55,0,15,,No,"$147,545",Yes,M,Bachelors,Professional,40,Commercial,"$33,880",9,Panel Truck,yes,"$6,822",2,No,3,9,Highly Urban/ Urban,55,0,3,15,0,76593.11,1,Professional,0,147544.77947,0,39.620373248,33880,2,9,0
790,0,0,0,51,1,13,"$46,381",No,"$217,179",Yes,z_F,z_High School,Manager,18,Private,"$20,130",12,z_SUV,no,$0,0,No,0,6,Highly Urban/ Urban,51,0,3,13,0,46380.931672,0,Manager,0,217178.98498,0,18.206585606,20130,0,6,0
791,0,0,0,47,0,8,"$51,624",No,$0,z_No,M,z_High School,Clerical,24,Private,"$20,500",1,Van,yes,$0,0,No,0,1,Highly Urban/ Urban,47,0,3,8,0,51624.247339,0,Clerical,0,0,0,24.195857314,20500,0,1,0
792,1,834.52069146,0,28,0,9,"$13,410",No,$0,Yes,M,z_High School,Student,27,Private,"$4,500",7,Pickup,no,"$5,575",2,No,2,10,Highly Urban/ Urban,28,0,1,9,0,13409.698076,0,Student,0,0,0,26.806447377,4500,2,10,0
793,0,0,0,51,0,11,"$61,666",No,"$198,755",Yes,z_F,Bachelors,Manager,34,Private,"$20,910",1,Pickup,no,"$10,147",1,No,4,11,Highly Urban/ Urban,51,0,3,11,0,61666.089756,0,Manager,0,198754.55301,0,34.337370683,20910,3,11,0
795,0,0,0,47,0,12,"$64,246",No,"$233,450",Yes,M,Bachelors,Manager,34,Commercial,"$7,200",1,Pickup,yes,"$10,265",1,No,1,13,Highly Urban/ Urban,47,0,3,12,0,64246.460142,0,Manager,0,233450.17943,0,33.957064863,7200,3,13,0
796,0,0,0,40,2,9,"$31,957",No,"$143,354",Yes,M,<High School,Clerical,29,Private,"$19,930",14,Van,yes,$0,0,No,0,1,Highly Urban/ Urban,40,0,2,9,0,31956.589246,0,Clerical,0,143354.04503,0,29.16609199,19930,0,1,0
797,1,4578,0,30,2,11,"$13,490",No,"$95,447",Yes,M,z_High School,Student,5,Commercial,"$5,850",10,Pickup,no,"$31,401",3,Yes,1,1,Highly Urban/ Urban,30,0,1,11,0,13489.717155,0,Student,0,95446.627839,0,5,5850,3,1,0
798,0,0,0,53,0,11,"$82,266",No,$0,z_No,M,Masters,Lawyer,21,Private,"$15,030",1,Minivan,yes,$0,0,No,1,16,Highly Urban/ Urban,53,0,3,11,0,82265.5594,0,Lawyer,0,0,0,21.39190338,15030,0,16,0
800,0,0,1,42,2,,"$35,101",No,"$150,376",Yes,z_F,Bachelors,Clerical,37,Private,"$9,210",4,z_SUV,no,$0,0,No,2,16,z_Highly Rural/ Rural,42,0,2,10,1,35100.570271,0,Clerical,0,150376.06188,0,36.509243769,9210,0,16,0
801,0,0,0,53,1,13,"$52,019",No,"$213,950",Yes,M,Bachelors,z_Blue Collar,52,Commercial,"$16,940",3,Van,no,"$32,115",1,No,0,11,Highly Urban/ Urban,53,0,3,13,0,52018.666157,0,z_Blue Collar,0,213949.94441,0,52.357677831,16940,3,11,0
802,0,0,0,43,0,12,"$2,346",No,"$99,554",Yes,z_F,Bachelors,Student,25,Commercial,"$24,590",1,Minivan,no,"$33,218",3,No,0,7,Highly Urban/ Urban,43,0,2,12,0,2346.1639235,0,Student,0,99553.56377,0,25.192290563,24590,3,7,0
804,0,0,1,38,2,15,"$40,342",No,"$189,439",Yes,z_F,Bachelors,Clerical,5,Private,"$8,230",1,z_SUV,no,$0,0,No,1,14,z_Highly Rural/ Rural,38,0,2,15,0,40342.078003,0,Clerical,0,189439.15599,0,5,8230,0,14,0
805,0,0,0,41,2,13,"$78,370",Yes,"$230,394",z_No,z_F,Masters,Lawyer,42,Private,"$21,340",11,Minivan,no,$0,0,No,0,12,z_Highly Rural/ Rural,41,0,2,13,0,78370.256004,0,Lawyer,0,230394.0613,0,42.412949936,21340,0,12,0
808,0,0,0,28,1,11,"$70,029",No,"$227,430",Yes,z_F,Masters,,52,Private,"$11,300",11,z_SUV,no,$0,0,No,0,10,Highly Urban/ Urban,28,0,1,11,0,70028.999436,0,Professional,1,227430.27195,0,51.785284617,11300,0,10,0
809,0,0,0,35,2,13,"$35,907",Yes,"$160,171",z_No,z_F,z_High School,Clerical,53,Private,"$8,590",4,z_SUV,no,"$1,278",2,No,6,,z_Highly Rural/ Rural,35,0,1,13,0,35906.893153,0,Clerical,0,160171.30787,0,52.941796952,8590,1,8,1
810,0,0,0,51,0,12,"$37,721",No,,z_No,M,z_High School,z_Blue Collar,23,Commercial,"$11,750",1,Pickup,yes,"$6,281",2,No,1,5,z_Highly Rural/ Rural,51,0,3,12,0,37720.654541,0,z_Blue Collar,0,156413.52,1,23.088088971,11750,2,5,0
812,0,0,0,47,0,9,"$107,414",No,$0,z_No,z_F,Masters,Home Maker,50,Commercial,"$21,220",7,Pickup,no,"$8,295",2,No,2,17,Highly Urban/ Urban,47,0,3,9,0,107414.12459,0,Home Maker,0,0,0,49.823121397,21220,2,17,0
813,0,0,0,46,0,15,"$45,109",No,"$230,564",Yes,z_F,PhD,Doctor,31,Private,"$26,780",4,Minivan,no,$0,0,No,1,18,Highly Urban/ Urban,46,0,3,15,0,45109.338027,0,Doctor,0,230563.97527,0,30.561909483,26780,0,18,0
814,0,0,0,43,0,9,"$21,913",No,"$125,624",Yes,M,<High School,Clerical,26,Commercial,"$7,990",6,Pickup,no,"$4,748",3,No,1,4,Highly Urban/ Urban,43,0,2,9,0,21913.342967,0,Clerical,0,125623.62901,0,26.208942405,7990,1,4,0
815,0,0,0,53,0,2,"$55,890",No,$0,z_No,z_F,Masters,Lawyer,43,Private,"$12,390",6,z_SUV,no,"$6,668",1,No,4,19,Highly Urban/ Urban,53,0,3,2,0,55890.492959,0,Lawyer,0,0,0,43.259167195,12390,2,19,0
817,0,0,0,46,0,10,"$70,307",No,"$226,429",Yes,z_F,Bachelors,z_Blue Collar,36,Commercial,"$22,210",1,z_SUV,no,"$6,632",2,No,0,10,Highly Urban/ Urban,46,0,3,10,0,70307.224117,0,z_Blue Collar,0,226428.86795,0,36.259554167,22210,2,10,0
820,0,0,0,47,0,10,,No,$0,z_No,z_F,Masters,Lawyer,23,Private,"$32,020",1,Minivan,no,"$37,066",2,Yes,0,22,Highly Urban/ Urban,47,0,3,10,0,88304.81,1,Lawyer,0,0,0,23.043334579,32020,3,22,0
821,0,0,0,55,0,15,"$39,422",No,"$173,117",Yes,z_F,z_High School,Clerical,32,Private,"$18,150",1,Minivan,no,$0,0,No,0,8,Highly Urban/ Urban,55,0,3,15,0,39421.848698,0,Clerical,0,173117.49381,0,31.917736573,18150,0,8,0
822,1,9270,0,50,0,3,"$87,719",No,$0,z_No,M,Bachelors,z_Blue Collar,20,Commercial,"$9,160",17,Minivan,no,$0,0,Yes,2,9,Highly Urban/ Urban,50,0,3,3,0,87718.964237,0,z_Blue Collar,0,0,0,20.067436823,9160,0,9,0
823,0,0,0,55,0,12,,No,"$118,928",Yes,z_F,Bachelors,Home Maker,36,Private,"$1,500",13,z_SUV,no,$0,0,No,1,8,z_Highly Rural/ Rural,55,0,3,12,0,12073.33,1,Home Maker,0,118927.89213,0,35.55818887,1500,0,8,0
824,1,5040,0,40,0,11,"$32,265",No,$0,z_No,z_F,z_High School,Clerical,46,Private,"$8,730",3,Minivan,no,"$3,979",1,No,7,1,Highly Urban/ Urban,40,0,2,11,0,32264.969779,0,Clerical,0,0,0,46.499252464,8730,1,1,0
